index,signo,decanato,grado_rel_inicio,grado_rel_fin,grado_abs_inicio,grado_abs_fin,palo,numero,carta
0,Aries,1,0,9,0,9,Bastos,2,2 de Bastos
1,Aries,2,10,19,10,19,Bastos,3,3 de Bastos
2,Aries,3,20,29,20,29,Bastos,4,4 de Bastos
3,Tauro,1,0,9,30,39,Oros,5,5 de Oros
4,Tauro,2,10,19,40,49,Oros,6,6 de Oros
5,Tauro,3,20,29,50,59,Oros,7,7 de Oros
6,Géminis,1,0,9,60,69,Espadas,8,8 de Espadas
7,Géminis,2,10,19,70,79,Espadas,9,9 de Espadas
8,Géminis,3,20,29,80,89,Espadas,10,10 de Espadas
9,Cáncer,1,0,9,90,99,Copas,2,2 de Copas
10,Cáncer,2,10,19,100,109,Copas,3,3 de Copas
11,Cáncer,3,20,29,110,119,Copas,4,4 de Copas
12,Leo,1,0,9,120,129,Bastos,5,5 de Bastos
13,Leo,2,10,19,130,139,Bastos,6,6 de Bastos
14,Leo,3,20,29,140,149,Bastos,7,7 de Bastos
15,Virgo,1,0,9,150,159,Oros,8,8 de Oros
16,Virgo,2,10,19,160,169,Oros,9,9 de Oros
17,Virgo,3,20,29,170,179,Oros,10,10 de Oros
18,Libra,1,0,9,180,189,Espadas,2,2 de Espadas
19,Libra,2,10,19,190,199,Espadas,3,3 de Espadas
20,Libra,3,20,29,200,209,Espadas,4,4 de Espadas
21,Escorpio,1,0,9,210,219,Copas,5,5 de Copas
22,Escorpio,2,10,19,220,229,Copas,6,6 de Copas
23,Escorpio,3,20,29,230,239,Copas,7,7 de Copas
24,Sagitario,1,0,9,240,249,Bastos,8,8 de Bastos
25,Sagitario,2,10,19,250,259,Bastos,9,9 de Bastos
26,Sagitario,3,20,29,260,269,Bastos,10,10 de Bastos
27,Capricornio,1,0,9,270,279,Oros,2,2 de Oros
28,Capricornio,2,10,19,280,289,Oros,3,3 de Oros
29,Capricornio,3,20,29,290,299,Oros,4,4 de Oros
30,Acuario,1,0,9,300,309,Espadas,5,5 de Espadas
31,Acuario,2,10,19,310,319,Espadas,6,6 de Espadas
32,Acuario,3,20,29,320,329,Espadas,7,7 de Espadas
33,Piscis,1,0,9,330,339,Copas,8,8 de Copas
34,Piscis,2,10,19,340,349,Copas,9,9 de Copas
35,Piscis,3,20,29,350,359,Copas,10,10 de Copas
